community_area_name,north_or_south,kwh_total_sqft
Rogers Park,North,25063.95896
Washington Park,South,18691.35366
Jefferson Park,North,16382.03616
Archer Heights,South,20489.03412
Belmont Cragin,North,14638.35662
Avalon Park,South,15436.47447
West Ridge,North,22241.92994
Near South Side,South,346281.1207
Avondale,North,16197.71355
O'Hare,North,106502.4032
Armour Square,South,25015.03285
Grand Boulevard,South,18386.25285
Montclare,North,15149.90571
McKinley Park,South,15189.43902
Gage Park,South,14265.60513
Austin,North,18483.56736
Forest Glen,North,22506.38641
Kenwood,South,59161.97447
North Center,North,16358.57118
Logan Square,North,14954.55858
Albany Park,North,16294.87083
Chicago Lawn,South,12042.86953
Lincoln Square,North,16754.32314
West Pullman,South,10081.13541
Lincoln Park,North,32322.0082
New City,South,16270.09394
Uptown,North,43852.17167
Lakeview,North,35483.42541
Fuller Park,South,12750.28226
Near North Side,North,243510.7619
Near West Side,North,85798.80865
Calumet Heights,South,15050.50615
East Side,South,12885.86294
North Lawndale,North,17661.37174
Lower West Side,South,19432.81695
Greater Grand Crossing,South,13063.32784
Bridgeport,South,16708.84385
West Englewood,South,9943.315
West Elsdon,South,14506.41053
Brighton Park,South,15669.25131
Morgan Park,South,18288.90625
Portage Park,North,15386.94493
Chatham,South,17510.8041
Mount Greenwood,South,23247.73098
Ashburn,South,20145.45023
West Town,North,17202.36061
Garfield Ridge,South,15766.84262
Auburn Gresham,South,15176.97936
Hegewisch,South,12238.35168
South Chicago,South,13393.70867
Riverdale,South,85493.47826
Norwood Park,North,19066.01754
Beverly,South,23356.44563
Oakland,South,22757.39252
Edison Park,North,18749.92308
Dunning,North,17823.47113
South Shore,South,24347.06908
Hyde Park,South,43541.86408
Hermosa,North,15269.63291
South Deering,South,24817.34949
West Lawn,South,22612.28967
Edgewater,North,46046.93046
East Garfield Park,North,16734.56486
Clearing,South,18712.63742
South Lawndale,South,20820.05344
Irving Park,North,15833.01481
Woodlawn,South,19620.78157
Loop,North,1154623.226
Washington Heights,South,14393.33638
Douglas,South,48197.59218
Englewood,South,12779.62651
Humboldt Park,North,16377.57798
West Garfield Park,North,16475.93295
North Park,North,23927.26824
Burnside,South,17402.8
Roseland,South,11945.14384
Pullman,South,37305.85561