Beverage_category,Beverage,Beverage_cat_short,Size_and_Milk,Calories, Total_Fat_g,Trans_Fat_g ,Sat_Fat_g, Sodium_mg,Carbs_g ,Cholesterol_mg,Sugar_g, Protein_g ,Caffeine_mg
Coffee,Brewed Coffee,Coffee,Short,3,0.1,0,0,0,5,0,0,0.3,175
Coffee,Brewed Coffee,Coffee,Tall,4,0.1,0,0,0,10,0,0,0.5,260
Coffee,Brewed Coffee,Coffee,Grande,5,0.1,0,0,0,10,0,0,1,330
Coffee,Brewed Coffee,Coffee,Venti,5,0.1,0,0,0,10,0,0,1,410
Classic Espresso Drinks,Caffè Latte,Latte,Short Nonfat Milk,70,0.1,0.1,0,5,75,10,9,6,75
Classic Espresso Drinks,Caffè Latte,Latte,2% Milk,100,3.5,2,0.1,15,85,10,9,6,75
Classic Espresso Drinks,Caffè Latte,Latte,Soymilk,70,2.5,0.4,0,0,65,6,4,5,75
Classic Espresso Drinks,Caffè Latte,Latte,Tall Nonfat Milk,100,0.2,0.2,0,5,120,15,14,10,75
Classic Espresso Drinks,Caffè Latte,Latte,2% Milk,150,6,3,0.2,25,135,15,14,10,75
Classic Espresso Drinks,Caffè Latte,Latte,Soymilk,110,4.5,0.5,0,0,105,10,6,8,75
Classic Espresso Drinks,Caffè Latte,Latte,Grande Nonfat Milk,130,0.3,0.2,0,5,150,19,18,13,150
Classic Espresso Drinks,Caffè Latte,Latte,2% Milk,190,7,3.5,0.2,30,170,19,17,12,150
Classic Espresso Drinks,Caffè Latte,Latte,Soymilk,150,5,0.5,0,0,130,13,8,10,150
Classic Espresso Drinks,Caffè Latte,Latte,Venti Nonfat Milk,170,0.4,0.3,0,10,190,25,23,16,150
Classic Espresso Drinks,Caffè Latte,Latte,2% Milk,240,9,4.5,0.3,35,220,24,22,16,150
Classic Espresso Drinks,Caffè Latte,Latte,Soymilk,190,7,1,0,0,170,16,11,13,150
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Mocha,Short Nonfat Milk,110,1.5,1,0,5,60,21,17,7,85
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Mocha,2% Milk,130,4,2,0.1,10,70,21,17,6,85
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Mocha,Soymilk,110,3.5,1,0,0,55,19,13,6,85
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Mocha,Tall Nonfat Milk,170,2,1,0,5,100,32,27,10,95
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Mocha,2% Milk,200,6,3.5,0.1,20,115,32,26,10,95
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Mocha,Soymilk,180,5,1.5,0,0,85,28,20,9,95
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Mocha,Grande Nonfat Milk,220,2.5,1.5,0,5,125,43,34,13,175
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Mocha,2% Milk,260,8,4.5,0.2,25,140,42,34,13,175
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Mocha,Soymilk,230,7,2,0,0,105,37,26,11,175
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Mocha,Venti Nonfat Milk,280,3,2,0,10,160,54,44,17,180
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Mocha,2% Milk,340,11,6,0.2,30,180,53,43,17,180
Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Mocha,Soymilk,290,9,2.5,0,0,140,47,33,14,180
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Latte,Short Nonfat Milk,100,0.1,0.1,0,5,70,19,18,6,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Latte,2% Milk,130,3.5,1.5,0.1,15,80,18,17,6,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Latte,Soymilk,110,2.5,0.3,0,0,60,16,13,5,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Latte,Tall Nonfat Milk,150,0.2,0.1,0,5,110,28,27,9,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Latte,2% Milk,200,5,2.5,0.2,20,125,28,27,9,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Latte,Soymilk,160,4,0.5,0,0,95,23,20,7,75
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Latte,Grande Nonfat Milk,200,0.3,0.2,0,5,140,37,35,12,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Latte,2% Milk,250,6,3.5,0.2,25,150,37,35,12,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Latte,Soymilk,210,5,0.5,0,0,120,31,26,9,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Latte,Venti Nonfat Milk,250,0.3,0.2,0,10,180,47,45,15,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Latte,2% Milk,320,9,4.5,0.3,35,200,46,44,15,150
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Latte,Soymilk,270,7,1,0,0,160,39,33,12,150
Classic Espresso Drinks,Caffè Americano,Americano,Short,5,0,0,0,0,5,1,0,0.4,75
Classic Espresso Drinks,Caffè Americano,Americano,Tall,10,0,0,0,0,10,2,0,1,150
Classic Espresso Drinks,Caffè Americano,Americano,Grande,15,0,0,0,0,15,3,0,1,225
Classic Espresso Drinks,Caffè Americano,Americano,Venti,25,0,0,0,0,15,4,0,1,300
Classic Espresso Drinks,Cappuccino,Cappuccino,Short Nonfat Milk,50,0.1,0.1,0,5,60,8,7,5,75
Classic Espresso Drinks,Cappuccino,Cappuccino,2% Milk,80,3,1.5,0.1,10,70,8,7,5,75
Classic Espresso Drinks,Cappuccino,Cappuccino,Soymilk,50,1.5,0.2,0,0,40,4,3,3,75
Classic Espresso Drinks,Cappuccino,Cappuccino,Tall Nonfat Milk,60,0.1,0.1,0,5,70,9,8,6,75
Classic Espresso Drinks,Cappuccino,Cappuccino,2% Milk,90,3.5,1.5,0.1,15,80,9,8,6,75
Classic Espresso Drinks,Cappuccino,Cappuccino,Soymilk,70,3,0.4,0,0,65,7,4,5,75
Classic Espresso Drinks,Cappuccino,Cappuccino,Grande Nonfat Milk,80,0.2,0.1,0,5,90,12,10,8,150
Classic Espresso Drinks,Cappuccino,Cappuccino,2% Milk,120,4,2,0.1,15,100,12,10,8,150
Classic Espresso Drinks,Cappuccino,Cappuccino,Soymilk,100,3.5,0.4,0,0,80,9,5,7,150
Classic Espresso Drinks,Cappuccino,Cappuccino,Venti Nonfat Milk,110,0.2,0.2,0,5,120,16,14,10,150
Classic Espresso Drinks,Cappuccino,Cappuccino,2% Milk,150,6,3,0.2,25,135,16,14,10,150
Classic Espresso Drinks,Cappuccino,Cappuccino,Soymilk,120,4.5,0.5,0,0,110,11,7,9,150
Classic Espresso Drinks,Espresso,Espresso,Solo,5,0,0,0,0,0,1,0,0.4,75
Classic Espresso Drinks,Espresso,Espresso,Doppio,10,0,0,0,0,1,2,0,1,150
Classic Espresso Drinks,Skinny Latte (Any Flavour),Skinny Latte ,Short Nonfat Milk,60,0.1,0.1,0,5,80,9,8,6,75
Classic Espresso Drinks,Skinny Latte (Any Flavour),Skinny Latte ,Tall Nonfat Milk,100,0.2,0.1,0,5,125,14,13,9,75
Classic Espresso Drinks,Skinny Latte (Any Flavour),Skinny Latte ,Grande Nonfat Milk,120,0.3,0.2,0,5,160,18,16,12,150
Classic Espresso Drinks,Skinny Latte (Any Flavour),Skinny Latte ,Venti Nonfat Milk,160,0.3,0.2,0,10,200,24,21,15,150
Signature Espresso Drinks,Caramel Macchiato,Macchiato,Short Nonfat Milk,100,1,0.5,0,5,70,17,15,6,75
Signature Espresso Drinks,Caramel Macchiato,Macchiato,2% Milk,120,4,2,0.1,15,80,16,15,5,75
Signature Espresso Drinks,Caramel Macchiato,Macchiato,Soymilk,100,3,1,0,0,60,14,11,4,75
Signature Espresso Drinks,Caramel Macchiato,Macchiato,Tall Nonfat Milk,140,1,0.5,0,5,105,25,24,8,75
Signature Espresso Drinks,Caramel Macchiato,Macchiato,2% Milk,180,5,3,0.1,20,115,25,23,8,75
Signature Espresso Drinks,Caramel Macchiato,Macchiato,Soymilk,150,4.5,1,0,0,90,21,17,7,75
Signature Espresso Drinks,Caramel Macchiato,Macchiato,Grande Nonfat Milk,190,1,1,0,10,130,35,32,11,150
Signature Espresso Drinks,Caramel Macchiato,Macchiato,2% Milk,240,7,3.5,0.2,25,150,34,32,10,150
Signature Espresso Drinks,Caramel Macchiato,Macchiato,Soymilk,200,5,1,0,5,115,29,24,9,150
Signature Espresso Drinks,Caramel Macchiato,Macchiato,Venti Nonfat Milk,240,1,1,0,10,170,43,41,13,150
Signature Espresso Drinks,Caramel Macchiato,Macchiato,2% Milk,300,8,4.5,0.2,35,180,43,40,13,150
Signature Espresso Drinks,Caramel Macchiato,Macchiato,Soymilk,250,7,1.5,0,5,140,36,31,11,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Mocha,Short Nonfat Milk,180,3,2,0,5,120,31,29,7,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Mocha,2% Milk,200,6,3.5,0.1,15,125,31,29,7,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Mocha,Soymilk,180,5,2.5,0,0,110,28,25,6,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Mocha,Tall Nonfat Milk,270,4.5,3.5,0,5,190,47,45,12,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Mocha,2% Milk,310,9,6,0.1,20,200,46,44,11,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Mocha,Soymilk,280,8,3.5,0,0,170,42,39,10,75
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Mocha,Grande Nonfat Milk,350,6,4.5,0,10,240,61,58,15,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Mocha,2% Milk,400,11,7,0.2,25,250,61,58,15,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Mocha,Soymilk,370,10,5,0,0,220,56,51,13,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Mocha,Venti Nonfat Milk,450,7,6,0,10,310,78,74,19,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Mocha,2% Milk,510,15,9,0.2,35,330,77,74,19,150
Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Mocha,Soymilk,460,13,6,0,5,290,70,64,16,150
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Hot Chocolate,Short Nonfat Milk,130,1.5,1,0,5,70,26,23,7,10
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Hot Chocolate,2% Milk,150,4.5,2.5,0.1,15,80,26,22,7,10
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Hot Chocolate,Soymilk,130,3.5,1,0,0,60,23,18,6,10
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Hot Chocolate,Tall Nonfat Milk,190,2,1,0,5,110,37,32,11,20
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Hot Chocolate,2% Milk,230,7,3.5,0.2,20,120,37,32,10,20
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Hot Chocolate,Soymilk,200,6,1.5,0,0,95,32,25,9,20
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Hot Chocolate,Grande Nonfat Milk,240,2.5,1.5,0,5,140,48,41,14,25
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Hot Chocolate,2% Milk,290,9,5,0.2,25,160,47,41,14,25
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Hot Chocolate,Soymilk,250,7,2,0,0,125,41,32,12,25
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Hot Chocolate,Venti Nonfat Milk,320,3,2,0,10,180,63,55,18,30
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Hot Chocolate,2% Milk,380,11,6,0.3,35,200,63,54,17,30
Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Hot Chocolate,Soymilk,330,9,2.5,0,0,160,55,44,15,30
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Caramel Apple Spice ,Short,140,0,0,0,0,10,35,33,0,0
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Caramel Apple Spice ,Tall,210,0,0,0,0,15,53,49,0,0
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Caramel Apple Spice ,Grande,280,0,0,0,0,20,70,65,0,0
Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Caramel Apple Spice ,Venti,360,0,0,0,0,25,89,83,0,0
Tazo® Tea Drinks,Tazo® Tea,Tea,Short,0,0,0,0,0,0,0,0,0,1000
Tazo® Tea Drinks,Tazo® Tea,Tea,Tall,0,0,0,0,0,0,0,0,0,1000
Tazo® Tea Drinks,Tazo® Tea,Tea,Grande,0,0,0,0,0,0,0,0,0,1000
Tazo® Tea Drinks,Tazo® Tea,Tea,Venti,0,0,0,0,0,0,0,0,0,1000
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tea Latte,Short Nonfat Milk,100,0.1,0.1,0,0,50,22,21,4,50
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tea Latte,2% Milk,120,2,1,0.1,10,55,22,21,4,50
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tea Latte,Soymilk,110,1.5,0.2,0,0,45,20,18,3,50
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tea Latte,Tall Nonfat Milk,160,0.2,0.1,0,5,80,34,32,6,70
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tea Latte,2% Milk,190,3.5,1.5,0.1,15,90,34,32,6,70
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tea Latte,Soymilk,160,2.5,0.3,0,0,70,31,28,5,70
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tea Latte,Grande Nonfat Milk,210,0.2,0.1,0,5,105,45,43,8,95
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tea Latte,2% Milk,240,4.5,2,0.1,20,115,45,42,8,95
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tea Latte,Soymilk,220,3.5,0.4,0,0,90,41,37,6,95
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tea Latte,Venti Nonfat Milk,260,0.3,0.2,0,5,135,57,54,10,120
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tea Latte,2% Milk,310,6,3,0.2,25,150,56,53,10,120
Tazo® Tea Drinks,Tazo® Chai Tea Latte,Tea Latte,Soymilk,280,4.5,0.5,0,0,115,51,46,8,120
Tazo® Tea Drinks,Tazo® Green Tea Latte,Tea Latte,Short Nonfat Milk,130,0.2,0.1,0,5,85,26,25,7,25
Tazo® Tea Drinks,Tazo® Green Tea Latte,Tea Latte,2% Milk,170,4,2,0.1,15,95,26,25,7,25
Tazo® Tea Drinks,Tazo® Green Tea Latte,Tea Latte,Soymilk,140,3,0.4,0,0,70,22,20,6,25
Tazo® Tea Drinks,Tazo® Green Tea Latte,Tea Latte,Tall Nonfat Milk,210,0.4,0.2,0,5,125,42,41,11,55
Tazo® Tea Drinks,Tazo® Green Tea Latte,Tea Latte,2% Milk,260,6,3,0.2,25,140,41,40,10,55
Tazo® Tea Drinks,Tazo® Green Tea Latte,Tea Latte,Soymilk,230,4.5,0.5,0,0,110,36,33,9,55
